City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,raja,8.4596,25.678,293.69,93,100,1.36,SS,1690415944
1,east london,-33.0153,27.9116,291.21,66,76,5.96,ZA,1690415945
2,yellowknife,62.456,-114.3525,298.44,31,75,5.66,CA,1690415757
3,pereslavl'-zalesskiy,56.7393,38.8563,288.28,98,68,3.96,RU,1690415946
4,grytviken,-54.2811,-36.5092,273.6,98,100,5.0,GS,1690415946
5,tazovsky,67.4667,78.7,290.06,87,16,1.44,RU,1690415947
6,ushuaia,-54.8,-68.3,273.96,80,20,7.72,AR,1690415947
7,margaret river,-33.95,115.0667,286.06,70,97,6.72,AU,1690415948
8,port-aux-francais,-49.35,70.2167,277.75,77,79,17.78,TF,1690415948
9,klyuchi,52.2667,79.1667,294.68,41,99,2.24,RU,1690415948
10,pendleton,45.6721,-118.7886,303.26,23,0,6.17,US,1690415949
11,petropavlovsk-kamchatsky,53.0452,158.6483,295.48,68,0,2.0,RU,1690415789
12,minas de marcona,-15.2119,-75.1103,285.47,86,28,6.07,PE,1690415950
13,shahpura,27.3833,75.9667,300.33,83,100,1.47,IN,1690415950
14,nar'yan-mar,67.6713,53.087,290.18,68,93,1.37,RU,1690415951
15,pisco,-13.7,-76.2167,292.18,72,0,7.72,PE,1690415951
16,biloela,-24.4167,150.5,293.58,46,6,7.23,AU,1690415952
17,blackmans bay,-43.0167,147.3167,282.89,86,98,2.1,AU,1690415952
18,whitehorse,60.7161,-135.0538,295.94,50,75,2.57,CA,1690415870
19,peniche,39.3558,-9.3811,292.75,91,38,8.11,PT,1690415953
20,kitimat,54.0524,-128.6534,295.36,62,83,3.13,CA,1690415953
21,adamstown,-25.066,-130.1015,293.06,63,48,7.21,PN,1690415954
22,iqaluit,63.7506,-68.5145,282.0,76,40,2.06,CA,1690415954
23,puerto ayora,-0.7393,-90.3518,298.46,93,88,2.68,EC,1690415954
24,port mathurin,-19.6833,63.4167,296.87,78,74,7.19,MU,1690415955
25,katabu,-4.9333,122.5167,299.36,72,26,2.79,ID,1690415956
26,tiksi,71.6872,128.8694,281.72,69,39,1.67,RU,1690415956
27,kingston,17.997,-76.7936,304.68,75,20,2.06,JM,1690415661
28,kodiak,57.79,-152.4072,287.88,82,100,3.09,US,1690415957
29,jinchang,38.4953,102.1739,297.3,39,100,0.91,CN,1690415958
30,thompson,55.7435,-97.8558,288.24,72,100,2.57,CA,1690415958
31,bull savanna,17.8868,-77.5902,300.16,75,89,1.43,JM,1690415959
32,college,64.8569,-147.8028,301.53,56,75,2.57,US,1690415960
33,nemuro,43.3236,145.575,291.43,95,76,1.75,JP,1690415960
34,walvis bay,-22.9575,14.5053,284.31,87,15,3.09,NA,1690415961
35,tupiza,-21.45,-65.7167,282.72,37,0,2.94,BO,1690415961
36,puerto natales,-51.7236,-72.4875,272.18,91,100,1.44,CL,1690415962
37,hasaki,35.7333,140.8333,309.43,74,9,4.11,JP,1690415962
38,prien,30.1819,-93.2738,307.27,56,20,3.6,US,1690415963
39,hamilton,39.1834,-84.5333,304.04,69,0,8.75,US,1690415723
40,isafjordur,66.0755,-23.124,280.27,85,84,4.64,IS,1690415956
41,ha'il,27.5219,41.6907,301.16,20,0,2.06,SA,1690415964
42,lihue,21.9789,-159.3672,303.92,64,20,6.17,US,1690415965
43,polyany,54.7122,39.8231,290.63,97,5,2.98,RU,1690415965
44,urangan,-25.3,152.9,291.59,88,45,7.05,AU,1690415965
45,atafu village,-8.5421,-172.5159,301.73,74,56,8.09,TK,1690415966
46,tougan,13.0667,-3.0667,302.99,53,84,5.1,BF,1690415967
47,dudinka,69.4058,86.1778,295.72,66,25,1.05,RU,1690415968
48,san carlos,9.6612,-68.5827,296.92,97,73,0.66,VE,1690415969
49,enewetak,11.3474,162.3373,301.61,76,90,6.12,MH,1690415969
50,invercargill,-46.4,168.35,280.63,62,100,7.83,NZ,1690415937
51,vilyuysk,63.7553,121.6247,291.55,44,63,3.37,RU,1690415970
52,waitangi,-43.9535,-176.5597,281.94,87,92,0.89,NZ,1690415961
53,port lincoln,-34.7333,135.8667,288.39,56,50,8.32,AU,1690415698
54,namibe,-15.1961,12.1522,288.99,89,73,2.94,AO,1690415972
55,anadyr,64.75,177.4833,285.43,87,75,4.0,RU,1690415973
56,nadym,65.5333,72.5167,291.64,82,10,2.85,RU,1690415973
57,bethel,41.3712,-73.414,300.35,75,42,2.13,US,1690415974
58,manakara,-22.1333,48.0167,290.34,73,67,2.29,MG,1690415974
59,the pas,53.8251,-101.2541,285.16,94,100,4.63,CA,1690415880
60,stanley,54.868,-1.6985,286.64,94,75,1.54,GB,1690415975
61,sebastopol,44.6,33.5333,297.21,59,0,6.54,UA,1690415975
62,keflavik,64.0049,-22.5624,285.1,82,75,2.06,IS,1690415976
63,bredasdorp,-34.5322,20.0403,282.17,92,37,1.86,ZA,1690415961
64,lebu,-37.6167,-73.65,281.88,85,95,0.98,CL,1690415972
65,west island,-12.1568,96.8225,297.14,83,75,10.8,CC,1690415977
66,nezhinka,51.7676,55.3694,291.24,82,0,2.0,RU,1690415978
67,turpan,42.9333,89.1667,309.77,11,1,0.39,CN,1690415978
68,onega,63.9061,38.1404,285.63,90,100,1.5,RU,1690415979
69,saipan,15.1355,145.701,300.54,100,100,7.6,MP,1690415979
70,tabriz,38.08,46.2919,294.85,49,20,4.12,IR,1690415980
71,jamestown,42.097,-79.2353,299.95,60,100,5.14,US,1690415980
72,aasiaat,68.7098,-52.8699,276.44,93,29,3.7,GL,1690415980
73,alesund,62.4723,6.1549,287.78,93,100,1.54,NO,1690415981
74,ribeira grande,38.5167,-28.7,296.36,94,28,3.13,PT,1690415981
75,hermanus,-34.4187,19.2345,285.18,82,3,2.98,ZA,1690415983
76,vorgashor,67.5833,63.95,286.38,96,100,2.84,RU,1690415984
77,kolwezi,-10.7148,25.4667,287.71,46,3,2.46,CD,1690415984
78,chilliwack,49.1747,-121.9443,298.32,46,24,2.06,CA,1690415985
79,happy valley-goose bay,53.3168,-60.3315,299.32,36,75,1.54,CA,1690415985
80,vorkuta,67.5,64.0,286.89,96,100,2.89,RU,1690415986
81,lazaro cardenas,17.9583,-102.2,303.73,63,28,4.03,MX,1690415765
82,san patricio,28.017,-97.5169,307.69,55,1,7.52,US,1690415987
83,hawaiian paradise park,19.5933,-154.9731,301.89,79,40,4.63,US,1690415694
84,kruisfontein,-34.0033,24.7314,284.2,82,99,4.58,ZA,1690415987
85,coquimbo,-29.9533,-71.3436,287.0,88,75,2.06,CL,1690415988
86,margate,51.3813,1.3862,290.32,94,100,4.47,GB,1690415988
87,bilibino,68.0546,166.4372,284.25,71,64,2.15,RU,1690415965
88,tual,-5.6667,132.75,299.13,84,92,9.76,ID,1690415989
89,warman,52.3168,-106.5679,298.1,31,40,4.12,CA,1690415990
90,lerwick,60.1545,-1.1494,283.15,86,4,1.68,GB,1690415990
91,tralee,52.2704,-9.7026,289.0,98,100,3.68,IE,1690415991
92,geraldton,-28.7667,114.6,283.38,93,75,3.6,AU,1690415713
93,utrik,11.2278,169.8474,301.49,78,100,8.49,MH,1690415992
94,avarua,-21.2078,-159.775,297.18,64,75,2.57,CK,1690415976
95,riosucio,5.4216,-75.7032,291.25,97,100,0.82,CO,1690415993
96,susuman,62.7833,148.1667,283.29,84,100,2.82,RU,1690415993
97,west end,26.6833,-78.9667,296.14,79,100,7.69,BS,1690415994
98,lorengau,-2.0226,147.2712,302.3,74,96,6.2,PG,1690415994
99,tambopata,-12.7333,-69.1833,298.09,88,20,2.06,PE,1690415995
100,edinburgh of the seven seas,-37.0676,-12.3116,283.9,54,61,10.82,SH,1690415995
101,ketchikan,55.3422,-131.6461,291.14,64,64,1.59,US,1690415995
102,st. john's,47.5649,-52.7093,295.81,68,75,8.23,CA,1690415996
103,oranjemund,-28.55,16.4333,284.95,73,0,2.56,NA,1690415996
104,la passe,45.5549,-0.8967,292.58,93,2,2.72,FR,1690415997
105,port elizabeth,-33.918,25.5701,287.31,67,20,2.57,ZA,1690415997
106,porto novo,6.4965,2.6036,299.05,93,67,2.63,BJ,1690415998
107,port alfred,-33.5906,26.891,290.29,78,100,6.22,ZA,1690415998
108,patos,-7.0244,-37.28,297.78,56,11,7.64,BR,1690415898
109,punta arenas,-53.15,-70.9167,273.46,75,15,5.07,CL,1690415953
110,katsuura,35.1333,140.3,301.45,74,7,3.3,JP,1690416000
111,champerico,14.3,-91.9167,303.3,69,7,4.02,GT,1690415991
112,port saint john's,-31.6229,29.5448,289.28,40,82,1.47,ZA,1690416001
113,hithadhoo,-0.6,73.0833,301.28,78,31,7.09,MV,1690416004
114,georgetown,5.4112,100.3354,300.38,95,40,0.0,MY,1690415883
115,papatowai,-46.5619,169.4708,279.33,74,100,10.49,NZ,1690415961
116,cidreira,-30.1811,-50.2056,289.5,92,97,4.14,BR,1690416028
117,pingzhuang,42.0372,119.2889,299.42,69,100,4.27,CN,1690416030
118,alta,69.9689,23.2717,287.74,80,100,4.47,NO,1690416031
119,rikaze,29.25,88.8833,282.61,89,100,2.11,CN,1690416032
120,luanco,43.6152,-5.7934,293.86,86,0,1.37,ES,1690416033
121,tura,25.5198,90.2201,296.87,93,100,1.49,IN,1690416033
122,colonia,50.9333,6.95,290.91,71,0,4.12,DE,1690415977
123,kapa'a,22.0752,-159.319,302.14,76,51,1.79,US,1690416034
124,kargasok,59.0556,80.8572,288.58,93,60,3.07,RU,1690416036
125,longyearbyen,78.2186,15.6401,284.06,76,40,2.57,SJ,1690415954
126,kavaratti,10.5669,72.642,301.33,71,100,6.26,IN,1690416037
127,port macquarie,-31.4333,152.9167,290.31,65,7,1.84,AU,1690415893
128,yaren,-0.5472,166.916,301.98,75,92,4.44,NR,1690416039
129,ilulissat,69.2167,-51.1,277.03,78,3,2.86,GL,1690416040
130,north vernon,39.0062,-85.6236,302.43,74,85,7.05,US,1690416040
131,khandyga,62.6667,135.6,293.69,35,0,5.61,RU,1690416041
132,darwin,-12.4611,130.8418,295.31,60,0,2.57,AU,1690416011
133,san antonio de pale,-1.4014,5.6325,296.11,91,100,5.07,GQ,1690416042
134,newnan,33.3807,-84.7997,305.38,55,0,0.0,US,1690416005
135,mhamid,29.82,-5.72,309.49,6,0,3.14,MA,1690416043
136,tashtyp,52.7939,89.8983,289.05,79,84,0.93,RU,1690416043
137,chonchi,-42.6128,-73.8092,281.55,97,100,1.12,CL,1690416044
138,trincomalee,8.5711,81.2335,299.39,78,94,4.22,LK,1690416044
139,aksu,41.1231,80.2644,300.28,36,27,2.05,CN,1690416045
140,adrar,20.5022,-10.0711,310.02,9,20,9.73,MR,1690416045
141,ulsteinvik,62.3432,5.8487,287.77,91,91,1.34,NO,1690415973
142,constantia,44.1833,28.65,295.76,72,35,7.03,RO,1690416046
143,holualoa,19.6228,-155.9522,301.79,83,26,3.58,US,1690416020
144,olonkinbyen,70.9221,-8.7187,277.73,90,100,5.54,SJ,1690416047
145,medicine hat,50.0501,-110.6683,301.39,18,20,6.69,CA,1690416002
146,tulun,54.5611,100.5792,289.37,90,94,2.26,RU,1690416048
147,maffra,-37.9667,146.9833,287.93,35,3,1.75,AU,1690416049
148,puerto colombia,10.9878,-74.9547,302.2,86,100,3.74,CO,1690416049
149,sang-e charak,35.8497,66.4369,296.63,16,8,3.91,AF,1690416049
150,ust-nera,64.5667,143.2,287.58,56,85,3.91,RU,1690416050
151,rio grande,-32.035,-52.0986,288.21,87,74,4.52,BR,1690416050
152,salalah,17.0151,54.0924,298.44,96,100,10.04,OM,1690416051
